repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
apple/ml-4m,Model repo,,1598,0,0.00%,7,0.44%,94,4M: Massively Multimodal Masked Modeling,"roman-bachmann, dmizr, ofkar",7,2024-04-08,2024-07-05,0
lilacai/lilac,Model development,Dataset engineering,951,0,0.00%,4,0.42%,89,Curate better data for LLMs,"nsthorat, dsmilkov, brilee",10,2023-03-23,2024-03-11,72
ParisNeo/lollms-webui,AI engineering,AI interface,4327,0,0.00%,18,0.42%,545,Lord of Large Language Models Web User Interface,"ParisNeo, andzejsp, blasphemousjohn",38,2023-04-06,2024-09-05,5430
microsoft/ToRA,Model repo,,970,0,0.00%,4,0.41%,72,ToRA is a series of Tool-integrated Reasoning LLM Agents designed to solve challenging mathematical reasoning problems by interacting with tools [ICLR'24].,"ZubinGou, microsoftopensource, ZhihongShao",4,2023-09-27,1000-01-01,0
wangzhaode/mnn-llm,Infrastructure,Toolings,1462,0,0.00%,6,0.41%,163,llm deploy project based mnn.,"wangzhaode, WhisperChi, kekxv",10,2023-03-17,2024-09-27,55541
allenai/dolma,Model development,Dataset engineering,975,0,0.00%,4,0.41%,108,Data and tools for generating and inspecting OLMo pre-training data. ,"soldni, chris-ha458, kyleclo",23,2023-06-20,2024-10-21,0
griptape-ai/griptape,AI engineering,AIE framework,2008,0,0.00%,8,0.40%,170,"Modular Python framework for AI agents and workflows with chain-of-thought reasoning, tools, and memory. ","collindutter, vasinov, andrewfrench",28,2023-01-14,2024-11-05,0
kreneskyp/ix,AI engineering,Agent,1008,0,0.00%,4,0.40%,121,Autonomous GPT-4 agent platform,"kreneskyp, gwc4github, BillSchumacher",5,2023-04-05,2024-03-03,0
ricklamers/shell-ai,Applications,Coding,1013,0,0.00%,4,0.39%,62,LangChain powered shell command generator and runner CLI,"ricklamers, ksfi, Elijas",9,2023-08-20,2024-05-24,0
sqlchat/sqlchat,Applications,Coding,4616,0,0.00%,18,0.39%,412,Chat-based SQL Client and Editor for the next decade,"boojack, tianzhou, CorrectRoadH",12,2023-03-16,2024-06-07,0
jquesnelle/yarn,Model development,Modeling & training,1335,0,0.00%,5,0.37%,115,YaRN: Efficient Context Window Extension of Large Language Models,"jquesnelle, bloc97, honglu2875",4,2023-06-26,2023-11-20,0
AGI-Edgerunners/LLM-Adapters,Model development,Modeling & training,1073,0,0.00%,4,0.37%,102,"Code for our EMNLP 2023 Paper: ""LLM-Adapters: An Adapter Family for Parameter-Efficient Fine-Tuning of Large Language Models""","HZQ950419, demoleiwang, LYH-YF",5,2023-03-29,2024-03-10,0
Haidra-Org/AI-Horde,Infrastructure,Compute management,1085,0,0.00%,4,0.37%,130,A crowdsourced distributed cluster for AI art and text generation,"db0, tazlin, donaldanixon",34,2022-09-13,2024-11-05,0
alexrudall/ruby-openai,AI engineering,AI interface,2788,0,0.00%,10,0.36%,332,OpenAI API + Ruby! 🤖❤️ ,"alexrudall, dependabot-preview[bot], willywg",62,2020-08-03,2024-10-16,0
protectai/rebuff,AI engineering,Prompt engineering,1116,0,0.00%,4,0.36%,80,LLM Prompt Injection Detector,"woop, shrumm, seanpmorgan",9,2023-04-24,2024-01-25,0
casibase/casibase,AI engineering,AIE framework,2820,0,0.00%,10,0.35%,356,"AI Cloud: ⚡️Open-source AI LangChain-like RAG (Retrieval-Augmented Generation) knowledge database with web UI and Enterprise SSO⚡️, supports OpenAI, Azure, LLaMA, Google Gemini, HuggingFace, Claude, Grok, etc., chat bot demo: https://demo.casibase.com, admin UI demo: https://demo-admin.casibase.com","hsluoyz, MartinRepo, Sherlocksuper",23,2020-05-29,2024-08-17,0
deepseek-ai/DeepSeek-LLM,Model repo,,1436,0,0.00%,5,0.35%,93,DeepSeek LLM: Let there be answers,"DeepSeekPH, stack-heap-overflow, zdaxie",7,2023-11-29,2024-02-04,0
ianand/spreadsheets-are-all-you-need,Tutorials,,1155,0,0.00%,4,0.35%,178,,ianand,1,2023-09-23,1000-01-01,15966
fchollet/ARC,AI engineering,Evals,3475,0,0.00%,12,0.35%,575,The Abstraction and Reasoning Corpus,"fchollet, ageron, kaalam",21,2019-11-05,2024-06-19,0
xtreme1-io/xtreme1,Model development,Dataset engineering,885,0,0.00%,3,0.34%,140,"Xtreme1 is an all-in-one data labeling and annotation platform for multimodal data training and supports 3D LiDAR point cloud, image, and LLM.","fanyinbo, jaggerwang, honelone",19,2022-08-08,2024-10-08,1461
facebookresearch/jepa,Model repo,,2660,0,0.00%,9,0.34%,255,PyTorch code and models for V-JEPA self-supervised learning from video.,"MidoAssran, bryant1410, orena1",5,2024-02-12,2024-03-01,0
AlibabaResearch/DAMO-ConvAI,Model development,Modeling & training,1216,0,0.00%,4,0.33%,186,DAMO-ConvAI: The official repository which contains the codebase for Alibaba DAMO Conversational AI.,"huybery, liminghao1630, HwwAncient",16,2022-07-15,2024-05-29,0
Lightning-AI/torchmetrics,AI engineering,Evals,2134,0,0.00%,7,0.33%,407,"Machine learning metrics for distributed, scalable PyTorch applications.","Borda, SkafteNicki, stancld",100+,2020-12-22,2024-11-05,5225
eth-sri/lmql,AI engineering,Prompt engineering,3680,0,0.00%,12,0.33%,198,A language for constraint-guided and efficient LLM programming.,"lbeurerkellner, Viehzeug, charles-dyfis-net",35,2022-11-24,2024-05-09,0
BAAI-DCAI/Bunny,Model repo,Multimodal,924,0,0.00%,3,0.32%,69,A family of lightweight multimodal models. ,"Isaachhh, BoyaWu10, RussRobin",7,2024-01-31,2024-10-21,0
salesforce/CodeT5,Model repo,,2787,0,0.00%,9,0.32%,411,Home of CodeT5: Open Code LLMs for Code Understanding and Generation,"yuewang-cuhk, svc-scm",2,2021-08-16,1000-01-01,0
smallcloudai/refact,Applications,Coding,1578,0,0.00%,5,0.32%,107,WebUI for Fine-Tuning and Self-hosting of Open-Source Large Language Models for Coding ,"mitya52, olegklimov, oxyplay",13,2023-04-19,2024-10-29,0
NVIDIA/aistore,Infrastructure,Data management,1266,0,0.00%,4,0.32%,172,AIStore: scalable storage for AI applications,"alex-aizman, VirrageS, VladimirMarkelov",35,2017-12-14,2024-02-07,2156
allenai/natural-instructions,AI engineering,Evals,956,0,0.00%,3,0.31%,190,Expanding natural instructions ,"yeganehkordi, Palipoor, Mirzyaaliii",87,2021-06-10,2023-03-22,0
OpenLMLab/MOSS-RLHF,Model development,Modeling & training,1289,0,0.00%,4,0.31%,101,MOSS-RLHF,"Ablustrund, fakerbaby, CiaranZhou",5,2023-07-05,2024-03-03,0
microsoft/prompt-engine,AI engineering,Prompt engineering,2585,0,0.00%,8,0.31%,109,A library for helping developers craft prompts for Large Language Models,"abhimasand, ryanvolum, microsoftopensource",5,2022-06-17,2022-10-12,0
togethercomputer/moa,AI engineering,Agent,2590,0,0.00%,8,0.31%,352,Together Mixture-Of-Agents (MoA) –  65.1% on AlpacaEval with OSS models,"Nutlope, LorrinWWW, IsThatYou",5,2024-06-04,2024-07-16,0
ray-project/llm-applications,Tutorials,,1711,0,0.00%,5,0.29%,228,A comprehensive guide to building RAG-based LLM applications for production.,"GokuMohandas, pcmoritz, maxpumperla",5,2023-08-16,2024-04-02,0
ashishpatel26/LLM-Finetuning,Tutorials,,2143,0,0.00%,6,0.28%,596,LLM Finetuning with peft,ashishpatel26,1,2023-06-08,1000-01-01,0
eylonmiz/react-agent,Applications,Coding,1429,0,0.00%,4,0.28%,129,The open-source React.js Autonomous LLM Agent,"eylonmiz, adrianlamdev, areibman",6,2023-05-11,2023-11-14,0
InternLM/InternLM-XComposer,Model repo,Multimodal,2508,0,0.00%,7,0.28%,154,InternLM-XComposer-2.5: A Versatile Large Vision Language Model Supporting Long-Contextual Input and Output,"myownskyW7, panzhang0212, xiaoachen98",15,2023-09-26,2024-04-23,0
paralleldrive/sudolang-llm-support,Applications,Coding,1094,0,0.00%,3,0.27%,74,SudoLang LLM Support for VSCode,"ericelliott, bliuadobe, dwiyatci",5,2023-03-31,2024-10-14,0
Coframe/coffee,Applications,Coding,1469,0,0.00%,4,0.27%,67,Build and iterate on your UI 10x faster with AI - right from your own IDE ☕️,"joshpxyne, tunahfishy, 1um",7,2023-11-04,2024-05-02,0
CalculatedContent/WeightWatcher,AI engineering,Evals,1470,0,0.00%,4,0.27%,125,The WeightWatcher tool for predicting the accuracy of   Deep Neural Networks,"charlesmartin14, cdhinrichs, reserena",6,2018-11-28,2023-02-12,0
huggingface/setfit,Model development,Modeling & training,2224,0,0.00%,6,0.27%,220,Efficient few-shot learning with Sentence Transformers,"tomaarsen, lewtun, danielkorat",47,2022-06-30,2024-09-19,0
epfLLM/meditron,Model repo,,1878,0,0.00%,5,0.27%,170,Meditron is a suite of open-source medical Large Language Models (LLMs).,"eric11eca, AGBonnet, jpcorb20",11,2023-11-23,2024-04-10,0
ianarawjo/ChainForge,AI engineering,Prompt engineering,2264,0,0.00%,6,0.27%,178,An open-source visual programming environment for battle-testing prompts to LLMs.,"ianarawjo, priyanmuthu, eglassman",8,2023-03-26,2024-10-29,0
IST-DASLab/gptq,Model development,Inference optimization,1919,0,0.00%,5,0.26%,152,"Code for the ICLR 2023 paper ""GPTQ: Accurate Post-training Quantization of Generative Pretrained Transformers"".","efrantar, sashkboos, brian-fb",5,2022-10-19,2023-07-10,0
Tencent/MedicalNet,Model development,Dataset engineering,1946,0,0.00%,5,0.26%,414,Many studies have shown that the performance on deep learning is significantly affected by volume of training data. The MedicalNet project provides a series of 3D-ResNet pre-trained models and relative code.,cshwhale,1,2019-07-17,1000-01-01,0
kubeflow/training-operator,Model development,Modeling & training,1603,0,0.00%,4,0.25%,698,Distributed ML Training and Fine-Tuning on Kubernetes,"gaocegege, jlewi, tenzen-y",100+,2017-06-28,2024-11-04,0
yokoffing/ChatGPT-Prompts,Lists,,820,0,0.00%,2,0.24%,78,ChatGPT and Bing AI prompt curation,"yokoffing, UkuleleBoy46, pdpwebsecurify",3,2022-12-10,2024-03-05,0
FreedomIntelligence/Medical_NLP,Lists,,2127,0,0.00%,5,0.24%,405,"Medical NLP Competition, dataset, large models, paper","lrs1353281004, wangxidong06, RobinLin2002",7,2019-11-14,2024-06-07,0
allenai/scispacy,Model repo,,1706,0,0.00%,4,0.23%,229,A full spaCy pipeline and models for scientific/biomedical documents.,"dakinggg, DeNeutoy, ibeltagy",24,2018-09-24,2024-10-28,0
hiyouga/FastEdit,AI engineering,Prompt engineering,1280,0,0.00%,3,0.23%,89,🩹Editing large language models within 10 seconds⚡,"hiyouga, BUAADreamer",2,2023-07-09,2023-07-09,0
Pythagora-io/pythagora,Applications,Coding,1718,0,0.00%,4,0.23%,92,Generate automated tests for your Node.js app via LLMs without developers having to write a single line of code.,"LeonOstrez, zvone187, pavel-pythagora",6,2023-01-21,2023-10-19,0
JonasGeiping/cramming,Model development,Modeling & training,1293,0,0.00%,3,0.23%,100,Cramming the training of a (BERT-type) language model into limited compute.,"JonasGeiping, Randl, ss18",8,2022-12-29,2024-02-18,0
pyro-ppl/numpyro,Model development,Modeling & training,2183,0,0.00%,5,0.23%,239,Probabilistic programming with NumPy powered by JAX for autograd and JIT compilation to GPU/TPU/CPU.,"fehiepsi, neerajprad, martinjankowiak",100+,2019-02-13,2024-10-28,0
Yifan-Song793/RestGPT,AI engineering,Agent,1316,0,0.00%,3,0.23%,99,An LLM-based autonomous agent controlling real-world applications via RESTful APIs,"Yifan-Song793, WeiminXiong, Jdelbarcogarza",4,2023-08-26,2023-09-11,0
mistralai/mistral-src,Model repo,,9695,0,0.00%,22,0.23%,860,Official inference library for Mistral models,"patrickvonplaten, timlacroix, pandora-s-git",24,2023-09-27,2024-10-16,0
openai/gpt-discord-bot,Applications,Bots,1783,0,0.00%,4,0.22%,659,"Example Discord bot written in Python that uses the completions API to have conversations with the `text-davinci-003` model, and the moderations API to filter the messages.","YufeiG, Kav-K, Veylkh",3,2022-12-21,2024-01-09,0
microsoft/UFO,Applications,Workflow automation,7846,0,0.00%,17,0.22%,1054,A UI-Focused Agent for Windows OS Interaction.,"vyokky, Mac0q, Lenny2Liu",14,2024-01-08,2024-11-01,0
google/BIG-bench,AI engineering,Evals,2858,0,0.00%,6,0.21%,591,Beyond the Imitation Game collaborative benchmark for measuring and extrapolating the capabilities of language models,"Sohl-Dickstein, sarahadlerrous, guygurari",100+,2021-01-15,2023-06-13,0
lastmile-ai/aiconfig,AI engineering,,956,0,0.00%,2,0.21%,79,AIConfig is a config-based framework to build generative AI applications.,"saqadri, rossdanlm, rholinshead",18,2023-09-01,2024-05-21,0
dillionverma/llm.report,Infrastructure,Monitoring,958,0,0.00%,2,0.21%,79,"📊 llm.report is an open-source logging and analytics platform for OpenAI: Log your ChatGPT API requests, analyze costs, and improve your prompts.","dillionverma, haseab, naveennaidu",8,2023-04-25,2024-02-09,0
facebookresearch/multimodal,Model development,Modeling & training,1455,0,0.00%,3,0.21%,140,TorchMultimodal is a PyTorch library for training state-of-the-art multimodal multi-task models at scale.,"langong347, ebsmothers, ankitade",34,2022-01-27,1000-01-01,0
leptonai/search_with_lepton,AI engineering,AIE framework,7822,0,0.00%,16,0.20%,998,Building a quick conversation-based search demo with Lepton AI.,"Yangqing, vthinkxie, NickN0309",6,2024-01-23,2024-09-18,0
1e0ng/simhash,AI engineering,Dataset engineering,979,0,0.00%,2,0.20%,223,A Python Implementation of Simhash Algorithm,"1e0ng, cjauvin, wuan",12,2013-09-14,1000-01-01,0
QData/TextAttack,Model development,Dataset engineering,2954,0,0.00%,6,0.20%,396,"TextAttack 🐙  is a Python framework for adversarial attacks, data augmentation, and model training in NLP https://textattack.readthedocs.io/en/master/","jxmorris12, qiyanjun, jinyongyoo",55,2019-10-15,2024-07-25,0
ztjhz/BetterChatGPT,Applications,Bots,8138,0,0.00%,16,0.20%,2743,An amazing UI for OpenAI's ChatGPT (Website + Windows + MacOS + Linux),"ztjhz, ayaka14732, tnga",43,2023-03-03,2024-05-14,91561
microsoft/CodeXGLUE,AI engineering,Evals,1549,0,0.00%,3,0.19%,366,CodeXGLUE ,"tangduyu, guody5, celbree",24,2020-08-31,2023-07-31,0
stochasticai/xTuring,Model development,Modeling & training,2608,0,0.00%,5,0.19%,207,"Build, customize and control you own LLMs. From data pre-processing to fine-tuning, xTuring provides an easy way to personalize open-source LLMs. Join our discord community: https://discord.gg/TgHXuSJEk6","StochasticRomanAgeev, tushar2407, sarthaklangde",18,2023-03-19,2024-09-23,0
Farama-Foundation/PettingZoo,AI engineering,Agent,2611,0,0.00%,5,0.19%,412,"An API standard for multi-agent reinforcement learning environments, with popular reference environments and related utilities","jkterry1, benblack769, jjshoots",100+,2020-01-20,2024-08-03,0
SHI-Labs/Neighborhood-Attention-Transformer,Model repo,,1049,0,0.00%,2,0.19%,86,"Neighborhood Attention Transformer, arxiv 2022 / CVPR 2023. Dilated Neighborhood Attention Transformer, arxiv 2022","alihassanijr, honghuis, stevenwalton",6,2022-04-14,2024-05-15,0
mlfoundations/open_flamingo,Model development,Modeling & training,3726,0,0.00%,7,0.19%,284,An open-source framework for training large multimodal models.,"anas-awadalla, jpgard, i-gao",19,2022-10-20,2023-12-02,0
bigscience-workshop/promptsource,AI engineering,Prompt engineering,2684,0,0.00%,5,0.19%,352,"Toolkit for creating, sharing and using natural language prompts.","VictorSanh, stephenbach, craffel",62,2021-05-19,2023-10-23,0
gabrielchua/RAGxplorer,AI engineering,AIE framework,1081,0,0.00%,2,0.19%,96,Open-source tool to visualise your RAG 🔮,"gabrielchua, vince-lam, dan-s-mueller",10,2024-01-11,2024-02-15,0
ELLA-Diffusion/ELLA,Model repo,Multimodal,1085,0,0.00%,2,0.18%,56,ELLA: Equip Diffusion Models with LLM for Enhanced Semantic Alignment,"budui, fangyixiao18, melohux",4,2024-03-07,2024-07-17,0
lupantech/chameleon-llm,AI engineering,Agent,1085,0,0.00%,2,0.18%,88,"Codes for ""Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models"".","lupantech, guspan-tanadi",2,2023-04-19,2023-12-23,0
OpenBMB/VisCPM,Model repo,Multimodal,1085,0,0.00%,2,0.18%,94,[ICLR'24 spotlight] Chinese and English Multimodal Large Model Series (Chat and Paint) | 基于CPM基础模型的中英双语多模态大模型系列,"JamesHujy, Cppowboy, Cuiunbo",5,2023-06-30,2023-09-07,0
divamgupta/diffusionbee-stable-diffusion-ui,Applications,Image production,12584,0,0.00%,23,0.18%,626,Diffusion Bee is the easiest way to run Stable Diffusion locally on your M1 Mac. Comes with a one-click installer. No dependencies or technical knowledge needed.,"divamgupta, AEtheve, CrudeDiatribe",17,2022-09-06,2023-12-28,735216
YangLing0818/RPG-DiffusionMaster,AI engineering,AIE framework,1687,0,0.00%,3,0.18%,97,"[ICML 2024] Mastering Text-to-Image Diffusion: Recaptioning, Planning, and Generating with Multimodal LLMs (RPG)","YangLing0818, ZhaochenYu0201, Cominclip",3,2024-01-22,1000-01-01,0
uTensor/uTensor,Model development,Inference optimization,1722,0,0.00%,3,0.17%,227,TinyML AI inference library,"mbartling, neil-tan, Knight-X",18,2017-09-21,2024-11-01,0
HumanAIGC/EMO,Model repo,,7488,0,0.00%,13,0.17%,909,Emote Portrait Alive: Generating Expressive Portrait Videos with Audio2Video Diffusion Model under Weak Conditions,"lucaskingjade, HumanAIGC",2,2024-02-27,1000-01-01,0
EleutherAI/gpt-neox,Model development,Modeling & training,6925,0,0.00%,12,0.17%,1010,"An implementation of model parallel autoregressive transformers on GPUs, based on the Megatron and DeepSpeed libraries","StellaAthena, sdtblck, joshlk",100+,2020-12-22,2024-10-17,0
THUDM/VisualGLM-6B,Model repo,Multimodal,4094,0,0.00%,7,0.17%,417,Chinese and English multimodal conversational language model | 多模态中英双语对话语言模型,"Sleepychord, 1049451037, lykeven",8,2023-04-23,2023-05-31,0
jina-ai/dev-gpt,Applications,Coding,1760,0,0.00%,3,0.17%,152,Your Virtual Development Team,"florian-hoenicke, joschkabraun, francescor",7,2023-03-17,2023-06-06,0
openai/following-instructions-human-feedback,Model repo,,1178,0,0.00%,2,0.17%,141,,"clwainwright, ryan-lowe",2,2022-01-25,1000-01-01,0
pytorch-labs/segment-anything-fast,Model development,Inference optimization,1196,0,0.00%,2,0.17%,71,A batched offline inference oriented version of segment-anything,"cpuhrsch, yanbing-j, kit1980",6,2023-08-30,2024-09-13,0
opendilab/DI-star,Applications,Bots,1228,0,0.00%,2,0.16%,115,An artificial intelligence platform for the StarCraft II with large-scale distributed training and grand-master agents.,"upia99, lkwargs, ain-soph",7,2021-07-04,2024-05-06,0
ray-project/ray-llm,Infrastructure,Serving,1232,0,0.00%,2,0.16%,94,RayLLM - LLMs on Ray,"Yard1, richardliaw, shrekris-anyscale",21,2023-05-31,2024-05-28,0
taranjeet/awesome-gpts,Lists,,1244,0,0.00%,2,0.16%,85,Collection of all the GPTs created by the community,"aryankhanna475, taranjeet, ljgonzalez1",26,2023-11-10,2023-12-06,0
google-research/multilingual-t5,Model repo,Multilingual,1250,0,0.00%,2,0.16%,128,,"lintingxue, adarob, nconstant-google",11,2020-10-22,2022-12-15,0
ItsPi3141/alpaca-electron,Applications,Bots,1290,0,0.00%,2,0.16%,144,The simplest way to run Alpaca (and other LLaMA-based local LLMs) on your own computer,"ItsPi3141, W48B1T, 8bit-coder",7,2023-03-24,2024-04-04,39955
gligen/GLIGEN,Model repo,Multimodal,2005,0,0.00%,3,0.15%,150,Open-Set Grounded Text-to-Image Generation,"Yuheng-Li, haotian-liu, ChunyuanLI",5,2023-01-13,2023-03-30,0
eumemic/ai-legion,AI engineering,Agent,1350,0,0.00%,2,0.15%,156,An LLM-powered autonomous agent platform,"eumemic, MalikMAlna, TheBitmonkey",6,2023-04-10,2023-04-16,0
facebookresearch/LAMA,AI engineering,Evals,1352,0,0.00%,2,0.15%,184, LAnguage Model Analysis,"fabiopetroni, cwenner, darrengarvey",6,2019-03-29,2020-02-18,0
google-deepmind/code_contests,AI engineering,Dataset engineering,2082,0,0.00%,3,0.14%,204,,felixgimeno,1,2022-01-31,1000-01-01,0
google-deepmind/acme,Model development,Modeling & training,3502,0,0.00%,5,0.14%,426,A library of reinforcement learning components and agents,"bshahr, sinopalnikov, qstanczyk",69,2020-05-01,2022-01-08,0
openai/consistencydecoder,Model repo,Multimodal,2135,0,0.00%,3,0.14%,75,Consistency Distilled Diff VAE,gabgoh,1,2023-11-02,1000-01-01,0
farizrahman4u/loopgpt,AI engineering,Agent,1430,0,0.00%,2,0.14%,130,Modular Auto-GPT Framework,"FayazRahman, farizrahman4u, iskandarreza",10,2023-04-14,2024-03-10,0
trigaten/Learn_Prompting,Tutorials,,4294,0,0.00%,6,0.14%,639,"Prompt Engineering, Generative AI, and LLM Guide by Learn Prompting | Join our discord for the largest Prompt Engineering learning community","trigaten, wahub-ahmed, khanartist47",100+,2022-10-25,2024-03-15,0
llm-workflow-engine/llm-workflow-engine,AI engineering,AIE framework,3654,0,0.00%,5,0.14%,471,Power CLI and Workflow manager for LLMs (core package),"thehunmonkgroup, mmabrouk, Tecuya",25,2022-12-03,2024-01-17,0
mosaicml/composer,Model development,Modeling & training,5156,0,0.00%,7,0.14%,418,Supercharge Your Model Training,"mvpatel2000, ravi-mosaicml, dakinggg",100+,2021-10-12,2024-11-05,0
nhaouari/obsidian-textgenerator-plugin,Applications,Writing,1476,0,0.00%,2,0.14%,131,"Text Generator is a versatile plugin for Obsidian that allows you to generate text content using various AI providers, including OpenAI, Anthropic, Google and local models.","haouarihk, nhaouari, ckt1031",19,2022-02-27,2024-09-25,520838
RootbeerComputer/backend-GPT,Applications,Coding,2952,0,0.00%,4,0.14%,228,,"evanmays, TheAppleTucker, Teddy55Codes",4,2023-01-21,2023-02-04,0
google-deepmind/bsuite,AI engineering,Evals,1509,0,0.00%,2,0.13%,182,bsuite is a collection of carefully-designed experiments that investigate core capabilities of a reinforcement learning (RL) agent,"aslanides, iosband, yilei",13,2019-08-02,2020-08-10,0
daveshap/OpenAI_Agent_Swarm,Applications,Workflow automation,3027,0,0.00%,4,0.13%,387,"HAAS = Hierarchical Autonomous Agent Swarm - ""Resistance is futile!""","daveshap, guillermo-delrio, OWigginsHay",18,2023-11-07,2023-12-07,0
microsoft/DeepSpeedExamples,Tutorials,,6067,0,0.00%,8,0.13%,1035,Example models using DeepSpeed,"lekurile, jeffra, awan-10",77,2020-01-29,2024-10-30,0
togethercomputer/RedPajama-Data,Model development,Dataset engineering,4562,0,0.00%,6,0.13%,350,The RedPajama-Data repository contains code for preparing large datasets for training large language models.,"mauriceweber, xzyaoi, zhangce",8,2023-04-14,2024-08-08,0
open-mmlab/mmagic,Model development,Modeling & training,6936,0,0.00%,9,0.13%,1059,"OpenMMLab Multimodal Advanced, Generative, and Intelligent Creation Toolbox. Unlock the magic 🪄: Generative-AI (AIGC), easy-to-use APIs, awsome model zoo, diffusion models, for text-to-image generation, image/video restoration/enhancement, etc.","Yshuo-Li, hejm37, Z-Fran",100+,2019-08-23,2023-12-15,0
bhaskatripathi/pdfGPT,Applications,Info aggregation,6961,0,0.00%,9,0.13%,838,PDF GPT allows you to chat with the contents of your PDF file by using GPT capabilities. The most effective open source solution to turn your pdf files in a chatbot!,"bhaskatripathi, deepankarm, weartist",11,2023-03-07,2023-09-04,0
cogentapps/chat-with-gpt,AI engineering,AI interface,2322,0,0.00%,3,0.13%,496,An open-source ChatGPT app with a voice,"cogentapps, ZauberNerd, schmidp",8,2023-03-06,2023-07-15,0
sebastianstarke/AI4Animation,AI engineering,AI interface,7875,0,0.00%,10,0.13%,1057,Bringing Characters to Life with Computer Brains in Unity,"sebastianstarke, paulstarke, doctorpangloss",3,2017-07-26,2023-06-28,0
mshumer/gpt-llm-trainer,Model development,Dataset engineering,3943,0,0.00%,5,0.13%,503,,mshumer,1,2023-08-09,1000-01-01,0
facebookresearch/fairscale,Model development,Modeling & training,3185,0,0.00%,4,0.13%,280,PyTorch extensions for high performance and large scale training.,"blefaudeux, min-xu-ai, msbaines",68,2020-07-07,2024-06-10,0
THUDM/GLM,Model development,Modeling & training,3190,0,0.00%,4,0.13%,325,GLM (General Language Model),"duzx16, thomas0809, tuteng0915",11,2021-03-18,2022-12-28,0
young-geng/EasyLM,Model development,Modeling & training,2400,0,0.00%,3,0.13%,255,"Large language models (LLMs) made easy, EasyLM is a one stop solution for pre-training, finetuning, evaluating and serving LLMs in JAX/Flax.","young-geng, Yulv-git, syzymon",9,2022-11-22,2023-08-13,0
HazyResearch/meerkat,Model development,Dataset engineering,827,0,0.00%,1,0.12%,43,Creative interactive views of any dataset. ,"seyuboglu, krandiash, ad12",17,2021-05-07,2023-06-27,0
NeumTry/NeumAI,Infrastructure,Data management,831,0,0.00%,1,0.12%,48,Neum AI is a best-in-class framework to manage the creation and synchronization of vector embeddings at large scale.,"ddematheu, kevinco26, sky-2002",5,2023-09-14,2024-01-15,0
freedmand/semantra,Applications,Data organization,2514,0,0.00%,3,0.12%,140,Multi-tool for semantic search,"freedmand, yych42, kianmeng",5,2023-03-31,2024-08-15,0
deeppavlov/DeepPavlov,AI engineering,AIE framework,6718,0,0.00%,8,0.12%,1150,An open source library for deep learning end-to-end dialog systems and chatbots.,"dilyararimovna, yoptar, my-master",70,2017-11-17,2024-08-12,0
Instruction-Tuning-with-GPT-4/GPT-4-LLM,Model development,Dataset engineering,4199,0,0.00%,5,0.12%,302,Instruction Tuning with GPT-4,"ChunyuanLI, Instruction-Tuning-with-GPT-4, 152334H",5,2023-04-06,2023-04-08,0
baaivision/Painter,Model repo,,2521,0,0.00%,3,0.12%,172,Painter & SegGPT Series: Vision Foundation Models from BAAI,"WXinlong, zhangxiaosong18, caoyue10",4,2022-12-05,2023-07-06,0
lucidrains/DALLE2-pytorch,Model repo,,11134,0,0.00%,13,0.12%,1088,"Implementation of DALL-E 2, OpenAI's updated text-to-image synthesis neural network,  in Pytorch","lucidrains, nousr, Veldrovive",17,2022-04-07,2023-10-04,0
kuleshov/minillm,Model development,Inference optimization,864,0,0.00%,1,0.12%,52,MiniLLM is a minimal system for running modern LLMs on consumer-grade GPUs,"kuleshov, algal, ipeevski",3,2023-03-15,2023-05-15,0
S-LoRA/S-LoRA,Infrastructure,Serving,1742,0,0.00%,2,0.11%,94,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,"Ying1123, merrymercy, caoshiyi",5,2023-11-05,2024-01-04,0
leptonai/leptonai,AI engineering,AIE framework,2646,0,0.00%,3,0.11%,171,A Pythonic framework to simplify AI service building,"Yangqing, bddppq, xlu451",28,2023-09-06,2024-10-22,0
nat/openplayground,AI engineering,AI interface,6247,0,0.00%,7,0.11%,487,An LLM playground you can run on your laptop,"AlexanderLourenco, nat, max",15,2023-02-26,2023-05-18,0
greshake/llm-security,AI engineering,Prompt engineering,1821,0,0.00%,2,0.11%,120,New ways of breaking app-integrated LLMs ,"greshake, shhra, eltociear",3,2023-02-19,2023-04-24,0
Liuhong99/Sophia,Model development,Modeling & training,936,0,0.00%,1,0.11%,54,The official implementation of “Sophia: A Scalable Stochastic Second-order Optimizer for Language Model Pre-training”,"Liuhong99, attesaarela, eltociear",5,2023-05-23,2024-01-30,0
google-deepmind/tree,AI engineering,Dataset engineering,938,0,0.00%,1,0.11%,59,tree is a library for working with nested data structures,"superbobry, rishabhkabra, copybara-github",18,2019-10-08,2024-08-28,0
FlagAI-Open/FlagAI,Model development,Modeling & training,3826,0,0.00%,4,0.10%,416,"FlagAI (Fast LArge-scale General AI models) is a fast, easy-to-use and extensible toolkit for large-scale model.","ftgreat, BAAI-OpenPlatform, shunxing1234",31,2022-05-16,2024-09-29,0
